halo_id,m200_msun,pos_x,pos_y,pos_z
378,51961933380388.25,107330.3125,151073.65625,140063.4375
379,91157589854129.77,178288.671875,143546.796875,128137.8203125
380,99527389305617.06,73576.7109375,2024.375732421875,22981.15625
381,49719699603954.46,37412.83984375,81944.4765625,152667.125
382,46788963315618.54,30300.267578125,78912.046875,142465.703125
383,92625597989555.66,19233.509765625,82713.4453125,129680.8515625
384,62224064149228.67,124568.5859375,88996.765625,42957.640625
385,66410315406333.04,189467.875,6142.02587890625,10225.375
386,83476242457373.78,123597.2109375,72119.046875,190006.28125
387,88921580330122.53,39392.8125,20114.58984375,195205.546875
388,88666685119574.84,79703.7578125,191715.546875,135904.296875
389,78092332585990.55,148788.1875,178737.875,138872.140625
390,71213355119298.05,164969.71875,37102.98046875,161699.34375
392,64449758785890.91,6681.69873046875,197090.125,190870.59375
393,83177096308034.39,138521.265625,32027.515625,146897.9375
394,76312398220678.33,34919.8125,54258.21484375,186309.203125
395,80091092492895.62,94954.5859375,112904.34375,4594.22412109375
396,78186968613909.8,168422.625,93425.5234375,10696.419921875
397,89933931380554.33,13207.2841796875,181116.484375,2552.617431640625
398,58272453152679.36,52311.828125,36006.578125,169270.03125
399,61582494014337.91,177038.5625,192713.296875,84642.9140625
400,67376317941301.3,6812.3720703125,150598.515625,80392.6484375
401,79129710393139.2,22927.724609375,22790.7890625,123220.3828125
402,83280591173512.7,23569.37109375,165032.125,67852.921875
403,101777598919120.9,62154.2734375,27325.51953125,23422.064453125
404,73948919466895.48,165648.1875,121826.3359375,127634.8125
405,77950886719903.31,18318.08984375,82325.28125,201764.640625
406,88225624573276.5,127919.71875,175922.796875,176204.0
407,75625034599202.83,167050.09375,43956.33984375,154342.25
409,73192537643932.69,42875.8515625,106785.046875,149839.21875
410,62775207825878.36,184314.671875,58459.71484375,107729.2578125
411,84143315088020.38,136905.453125,184604.5625,125517.7734375
412,81883475363060.97,185876.03125,115340.046875,167881.875
413,42628701105559.86,93786.171875,143902.25,133441.796875
414,81897242962522.14,188099.734375,112094.5234375,5889.57470703125
415,94470067076321.23,146195.890625,193598.875,53721.015625
416,90803719298974.02,96340.15625,61303.92578125,18395.234375
417,58278158417063.41,137432.671875,85574.6875,64771.19140625
418,64368443451062.89,152227.0,70726.765625,74506.7265625
419,79921823101195.75,56480.90234375,188140.953125,80969.59375
420,64300744344183.64,162817.765625,79856.2890625,193798.34375
421,50628602641995.125,80467.8203125,26358.36328125,14864.2783203125
422,87033869447981.25,73648.46875,155077.484375,82841.71875
424,75413712759724.69,113205.25,84042.6171875,75134.8359375
425,82747561621180.25,113232.234375,71819.4765625,58693.8203125
427,64184072948959.26,101676.8125,11852.3515625,32252.001953125
428,74963699669692.94,96182.03125,26962.06640625,144111.765625
429,76324334945656.19,46101.5703125,164491.296875,100586.59375
430,67993502846361.086,60260.49609375,55204.33984375,49430.83984375
431,79943526892807.06,132446.578125,190933.25,13819.2265625
432,71766452209274.44,60322.5234375,184309.578125,89052.1953125
433,87615337884281.81,92312.5390625,46295.8203125,127137.9375
434,98583760921815.03,202203.203125,87077.0546875,199635.34375
435,70737234047460.88,2337.662109375,143239.921875,151267.609375
436,73994626455473.12,132029.046875,62104.51953125,155767.140625
437,84636800634780.05,204254.453125,64428.55859375,104166.0859375
438,58306320726537.125,23198.205078125,20031.388671875,135459.484375
439,67240573735514.47,5856.4853515625,101020.0234375,133763.375
440,72182579705030.27,188654.390625,200831.65625,143970.9375
441,85749251503912.02,45583.328125,198789.515625,23774.705078125
442,78141225584495.86,108609.078125,91432.3828125,89601.8828125
443,73996882611824.62,100635.421875,74674.6328125,116070.25
444,57526714188671.76,152363.375,69955.0234375,159374.3125
445,75292428137455.72,74379.1796875,109059.2421875,134105.96875
446,80648579356731.62,24600.91015625,89519.2734375,1606.359375
447,82554036746660.02,46352.01953125,110703.609375,177380.203125
448,52727592114611.016,138471.796875,61210.44921875,125553.2109375
449,65302593094921.76,167951.734375,28086.923828125,153107.71875
450,82344769234850.16,143748.1875,18863.421875,43146.19140625
451,71111301887271.19,135052.359375,85362.3515625,66832.5859375
452,83274983219386.62,66432.25,158911.765625,96672.921875
453,73799335579974.9,139908.59375,69401.515625,7370.0869140625
454,64366417956063.625,27488.595703125,118070.6875,34834.0703125
455,74523828470992.03,1764.188720703125,142903.75,153239.265625
456,47788844236695.45,25990.849609375,121506.9375,44114.13671875
457,66661628157753.914,35539.0703125,43942.4140625,136097.046875
458,69916231005037.64,90828.625,45855.921875,171906.640625
459,68899814548272.805,202037.640625,161085.28125,99311.6171875
460,83227985968869.94,2897.8310546875,173112.9375,86822.3203125
461,49523799638323.0,37232.0546875,147633.890625,164922.9375
462,52860946812952.09,13277.7548828125,1971.8570556640625,182328.0
463,77874645934824.33,43651.5859375,195741.890625,96365.15625
464,80022398658934.89,167728.484375,87684.953125,192521.765625
465,72803008285355.77,135255.0,74179.3046875,102886.5078125
466,77726085607654.27,74883.5625,110931.5390625,158529.421875
467,73059777619390.31,156993.5,70394.125,93059.9453125
468,83746325276332.3,83220.671875,127732.6953125,190860.390625
