halo_id,m200_msun,r200_kpc_h,n_gas_particles,control_gas_mass_ratio,control_inner_icm_T_K,control_pass,n_annulus,n_whim,mass_annulus_msun,mass_whim_msun,whim_mass_fraction_pct,group_mass_total_msun,group_nsubs,group_first_sub_id,elapsed_s,cold_fraction_pct,whim_fraction_pct_recomputed,hot_fraction_pct,hot_fraction_inner_pct,hot_fraction_outer_pct
65,227894857635813.4,872.457763671875,3761894,0.9999896260780035,25186644.0,True,1218710,438749,14164194615336.672,5135592438649.456,36.25756760704736,359178015205196.3,1761,177232,27.0,2.397194428806568,36.25756760704736,61.34523796414605,66.1950115821705,3.10108609824552
66,243409716840124.0,891.8367919921875,3708809,0.9999949538726651,29312044.0,True,1044699,661183,12100704549227.363,7715429404214.035,63.76016679711984,354388995377546.5,1652,178993,20.6,1.6065348360556215,63.76016679711984,34.63329836682453,41.3694150476126,8.196035350878558
67,278848844155963.97,933.1806030273438,3967723,0.9999914049913288,32520582.0,True,460275,203867,5442869065220.062,2427992028311.185,44.608679709494695,340880169120903.44,1353,180645,29.7,2.504424570678713,44.608679709494695,52.88689571982658,56.05525029448646,2.7337356537404953
68,276792930690876.88,930.85302734375,3742987,0.9999906635403831,34362132.0,True,459415,159746,5419408438725.709,1924741468890.9314,35.5157115514162,340430984970106.3,1495,181998,29.3,2.8161510530423515,35.5157115514162,61.66813739554144,61.73115230090021,13.253408206166553
69,269337869288824.9,922.4497680664062,3712910,0.9999923357276495,33391800.0,True,403773,118136,4790362977129.939,1428081616773.5645,29.811553395671364,325132284285503.4,1184,183493,21.6,0.7273146492902338,29.811553395671364,69.46113195503841,75.65374433987691,0.1767927791354629
70,258570539701431.94,910.0026245117188,3562222,0.9999966348442823,30909818.0,True,460728,108247,5444223763121.946,1318534691560.124,24.218965805402917,329957748606805.44,1500,184677,24.9,1.391985359675512,24.218965805402917,74.38904883492157,74.43256927986319,7.072455008953267
71,276122945960658.4,930.0838623046875,3758077,0.9999987825341239,28504388.0,True,335052,87234,3927954274924.043,1045294247361.3792,26.6116704574315,323806096840862.1,1451,186177,23.4,0.6878445497971548,26.6116704574315,72.70048499277135,72.70723928232232,5.71978451240185
72,275153216803218.2,929.0459594726562,3476437,0.999987786148138,29678378.0,True,369698,191957,4356411995267.974,2273625118933.449,52.19031444691431,329644279829126.06,1409,187628,23.9,5.219448662203887,52.19031444691431,42.59023689088181,47.45756308435561,1.285519974970732
73,205733015827982.0,843.2008056640625,3384814,0.9999894627261712,24690024.0,True,1048495,686302,12202691050840.86,8024793594981.018,65.76249092554094,329638715124003.56,1640,189037,22.6,0.9245545357071127,65.76249092554094,33.31295453875194,43.17185529350335,16.506323446075164
74,205864175639393.28,843.3946533203125,3368174,0.9999875882524885,24152824.0,True,985106,528396,11484781838202.27,6227907719985.878,54.22747952660058,329177997905594.94,1897,190677,16.8,1.65859832096714,54.22747952660058,44.113922152432266,56.675231696872615,18.0520765650628
75,134628684238448.48,732.0719604492188,3584945,0.9999873459823172,22116288.0,True,1324835,349701,15543061121877.406,4139492457371.9785,26.63241445757102,314248095890537.4,1251,192574,24.6,1.0041568989780623,26.63241445757102,72.36342864345093,39.86018525528015,80.93936564395412
76,236042032841563.34,882.7385864257812,3415153,0.999996536651644,29878706.0,True,631771,183115,7428544639993.303,2201963410541.9453,29.64192203526868,320372760278269.9,1609,193825,23.6,1.8053341271278367,29.64192203526868,68.55274383760349,69.7493544415431,14.413370149636211
